model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
Zafira,2016,10495,Manual,24528,Petrol,205,42.2,1.4,Vauxhall
Ioniq,2019,23495,Automatic,4720,Hybrid,135,78.5,1.6,Hyundai
Mondeo,2015,6391,Manual,110000,Diesel,20,67.3,2.0,Ford
GLA Class,2015,15250,Manual,23247,Diesel,20,64.2,2.1,Mercedes-Benz
Zafira,2017,11130,Manual,21924,Petrol,200,41.5,1.4,Vauxhall
Polo,2017,12000,Manual,20950,Petrol,20,60.1,1.2,Volkswagen
3 Series,2020,41950,Semi-Auto,8,Petrol,150,33.6,3.0,BMW
Grand C-MAX,2016,10199,Manual,26297,Diesel,30,64.2,1.5,Ford
Q2,2020,25490,Manual,5000,Petrol,145,43.5,1.5,Audi
1 Series,2019,18000,Manual,4696,Petrol,145,53.3,1.5,BMW
Kodiaq,2018,17790,Manual,23780,Petrol,145,40.9,1.4,Skoda
Octavia,2019,13298,Semi-Auto,17570,Diesel,145,72.4,1.6,Skoda
Corsa,2016,8999,Automatic,35766,Petrol,150,47.9,1.4,Vauxhall
B Class,2017,14900,Semi-Auto,30285,Diesel,145,68.9,1.5,Mercedes-Benz
Mokka,2015,8998,Manual,34147,Petrol,160,44.8,1.4,Vauxhall
Golf,2016,14298,Manual,56507,Diesel,20,67.3,2.0,Volkswagen
Touran,2018,17266,Manual,15332,Diesel,145,51.4,1.6,Volkswagen
Mokka,2016,9995,Manual,31000,Diesel,165,43.5,1.6,Vauxhall
T-Roc,2019,24995,Semi-Auto,6588,Diesel,145,49.6,2.0,Volkswagen
Tiguan,2016,13995,Manual,30486,Diesel,125,56.5,2.0,Volkswagen
Adam,2017,7995,Manual,33399,Petrol,145,53.3,1.2,Vauxhall
Corsa,2018,9211,Manual,8573,Petrol,150,43.5,1.4,Vauxhall
7 Series,2019,49000,Semi-Auto,7970,Diesel,145,44.8,3.0,BMW
Galaxy,2016,15799,Automatic,14604,Diesel,145,52.3,2.0,Ford
B Class,2014,8699,Manual,59587,Diesel,30,61.4,1.5,Mercedes-Benz
Q5,2016,22000,Semi-Auto,22990,Diesel,200,47.1,2.0,Audi
X3,2016,18800,Automatic,46911,Diesel,150,54.3,2.0,BMW
C Class,2019,25399,Automatic,6612,Petrol,145,45.6,1.5,Mercedes-Benz
Tucson,2016,12498,Manual,21037,Diesel,30,61.7,1.7,Hyundai
A3,2019,21491,Manual,4552,Diesel,145,51.4,1.6,Audi
C Class,2016,10998,Manual,83786,Diesel,20,72.4,1.6,Mercedes-Benz
Focus,2015,8595,Semi-Auto,31000,Petrol,160,44.8,1.6,Ford
Astra,2017,10200,Manual,21595,Petrol,145,51.4,0.0,Vauxhall
Adam,2017,7491,Manual,10257,Petrol,150,53.3,1.2,Vauxhall
Focus,2017,10498,Manual,42002,Petrol,20,60.1,1.0,Ford
4 Series,2019,25990,Automatic,6519,Diesel,145,58.9,2.0,BMW
Yaris,2017,11650,Automatic,19736,Hybrid,0,86.0,1.5,Toyota
Fiesta,2017,8980,Manual,27213,Petrol,0,65.7,1.0,Ford
C-HR,2018,21995,Automatic,14214,Hybrid,135,74.3,1.8,Toyota
A3,2019,23690,Semi-Auto,7594,Petrol,150,42.2,1.5,Audi
Corsa,2016,10403,Automatic,7666,Petrol,150,47.9,1.4,Vauxhall
B-MAX,2017,9500,Manual,13909,Diesel,145,74.3,1.5,Ford
Golf,2017,14790,Manual,12618,Petrol,30,54.3,1.4,Volkswagen
Aygo,2015,5995,Manual,40389,Petrol,0,69.0,1.0,Toyota
Corolla,2019,22900,Automatic,5910,Hybrid,135,85.6,1.8,Toyota
Fiesta,2009,4000,Manual,49500,Petrol,150,49.6,1.4,Ford
A Class,2011,3440,Manual,74000,Diesel,150,54.3,2.0,Mercedes-Benz
B Class,2017,15890,Automatic,24841,Diesel,150,68.9,1.5,Mercedes-Benz
Corsa,2015,6995,Manual,26784,Petrol,30,55.4,1.4,Vauxhall
Astra,2017,10900,Manual,19428,Petrol,145,51.4,1.4,Vauxhall
A5,2017,21998,Semi-Auto,11757,Petrol,145,53.3,2.0,Audi
Corsa,2016,8049,Manual,28251,Petrol,30,54.4,1.4,Vauxhall
Octavia,2018,14000,Automatic,5770,Petrol,150,57.7,1.0,Skoda
Tucson,2017,21599,Manual,28964,Diesel,30,61.7,1.7,Hyundai
GLA Class,2017,16700,Automatic,30312,Diesel,30,64.2,2.1,Mercedes-Benz
Fiesta,2014,6940,Manual,32000,Petrol,0,65.7,1.0,Ford
E Class,2017,21391,Semi-Auto,16654,Diesel,145,72.4,2.0,Mercedes-Benz
Tiguan,2018,17998,Manual,21422,Diesel,145,58.9,2.0,Volkswagen
Golf,2014,11299,Manual,25495,Petrol,30,53.3,1.4,Volkswagen
Aygo,2019,9495,Manual,1723,Petrol,145,57.7,1.0,Toyota
A4,2014,12990,Semi-Auto,61000,Diesel,125,58.9,2.0,Audi
GLA Class,2017,17495,Automatic,45500,Diesel,125,56.5,2.1,Mercedes-Benz
Q3,2015,15950,Manual,47178,Diesel,165,49.6,2.0,Audi
C Class,2020,29880,Semi-Auto,3000,Diesel,145,64.2,2.0,Mercedes-Benz
C Class,2016,17440,Automatic,25374,Diesel,30,64.2,2.1,Mercedes-Benz
X2,2020,27890,Manual,10,Diesel,145,48.7,2.0,BMW
I30,2017,9498,Manual,32361,Diesel,0,78.4,1.6,Hyundai
Fiesta,2017,11500,Automatic,6877,Petrol,0,57.7,1.0,Ford
GL Class,2016,27990,Automatic,36000,Diesel,235,42.8,3.0,Mercedes-Benz
